airline,avail_seat_km_per_week,incidents_85_99,fatal_accidents_85_99
Aer Lingus,320906734,2,0
Aeroflot*,1197672318,76,14
Aerolineas Argentinas,385803648,6,0
Aeromexico*,596871813,3,1
Air Canada,1865253802,2,0
Air France,3004002661,14,4
Air India*,869253552,2,1
Air New Zealand*,710174817,3,0
Alaska Airlines*,965346773,5,0
Alitalia,698012498,7,2
All Nippon Airways,1841234177,3,1
American*,5228357340,21,5
Austrian Airlines,358239823,1,0
Avianca,396922563,5,3
British Airways*,3179760952,4,0
Cathay Pacific*,2582459303,0,0
China Airlines,813216487,12,6
Condor,417982610,2,1
COPA,550491507,3,1
Delta / Northwest*,6525658894,24,12
Egyptair,557699891,8,3
El Al,335448023,1,1
Ethiopian Airlines,488560643,25,5
Finnair,506464950,1,0
Garuda Indonesia,613356665,10,3
Gulf Air,301379762,1,0
Hawaiian Airlines,493877795,0,0
Iberia,1173203126,4,1
Japan Airlines,1574217531,3,1
Kenya Airways,277414794,2,0
KLM*,1874561773,7,1
Korean Air,1734522605,12,5
LAN Airlines,1001965891,3,2
Lufthansa*,3426529504,6,1
Malaysia Airlines,1039171244,3,1
Pakistan International,348563137,8,3
Philippine Airlines,413007158,7,4
Qantas*,1917428984,1,0
Royal Air Maroc,295705339,5,3
SAS*,682971852,5,0
Saudi Arabian,859673901,7,2
Singapore Airlines,2376857805,2,2
South African,651502442,2,1
Southwest Airlines,3276525770,1,0
Sri Lankan / AirLanka,325582976,2,1
SWISS*,792601299,2,1
TACA,259373346,3,1
TAM,1509195646,8,3
TAP - Air Portugal,619130754,0,0
Thai Airways,1702802250,8,4
Turkish Airlines,1946098294,8,3
United / Continental*,7139291291,19,8
US Airways / America West*,2455687887,16,7
Vietnam Airlines,625084918,7,3
Virgin Atlantic,1005248585,1,0
Xiamen Airlines,430462962,9,1
